IMG,SKU,ASIN,BSR,CTR,FBA_FBM_STOCK,FBA_FEE,REIMBURSEMENTS,REFUNDS,SALES_ORGANIC_$,SALES_ORGANIC_QTY,AD_SPEND,AD_UNITS,AD_SALES_$,AD_CLICKS
,Choco-12pack-1200g,B0FZ68HPM2,274572,,,,0,0,0,0,,0,0,0
,Choco-Blueberry-100g,B0FZ65RH16,6646,1.1964,,,-3.63,0,242.01,25,127.56,0,0,384
,Choco-Brownie-100g,B0FZ5PPSP3,6646,1.0409,,,0,0,59.94,22,51.24,0,0,296
,Choco-Caramel-100g,B0FZ5NHGQ8,201742,,,,0,0,0,0,,0,0,0
,Choco-Coconut-100g,B0G1FDD267,190841,,,,0,0,0,0,,0,0,0
,Choco-Cookie-100g,B0FZ69Y433,132988,, ,,0,0,9.99,0,,0,0,0
,Choco-Dark-100g,B0FZ5VSSXH,96038,0,,,0,0,0,3,0,0,0,0
,Choco-Dark-200g,B0FZ6C1BN2,8052,0.7232,,,-6.06,0,340.25,27,88.96,0,0,275
,Choco-Hazelnut-100g,B0FZ6G1BZC,122955,0.4234,,,0,0,0,2,9.36,0,0,19
,Choco-Matcha-100g,B0G1FL5MKG,172450,0,,,0,0,0,0,0,0,0,0
,Choco-Milk-100g,B0FZ5VPR5Q,6646,0.8066,,,0,0,107.82,10,30.77,0,0,29
,Choco-Milk-200g,B0FZ5T3DK4,8076,0.6777,,,0,0,344.39,28,156.56,0,0,244
,Choco-Orange-100g,B0FZ5MRWJ5,193909,,,,0,0,0,0,,0,0,0
,Choco-Pumpkin-100g,B0FZ61M15L,6646,1.1678,,,0,0,35.94,2,7.65,0,0,22
,Choco-Raspberry-160g,B0FZ5SZKDD,197419,,,,0,0,0,0,,0,0,0
,Choco-Strawberry-100g,B0FZ5TS62B,201208,,,,0,0,0,0,,0,0,0
,Choco-White-100g,B0FZ5XNZTT,6622,1.2299,,,0,0,137.77,30,48.43,0,0,255
,Choco-White-200g,B0G1FGJ81B,8052,0.6525,,,0,0,269.18,16,118.8,0,0,88
,Cone-DubaiMint-6pack-450g,B0FZ5QZ62D,246272,,,,0,0,0,0,,0,0,0
,Cone-StrawCookie-6pack-450g,B0FZ5MS4SB,246273,,,,0,0,0,0,,0,0,0
,Dried-Kadayif-10KG,B0F7LX896Y,4133,0.1407,,,0,0,0,0,9.59,0,0,1
,Dried-Kadayif-180gm,B0F9WZ117F,4136,2.9547,,,-2.65,1,1045.84,70,500.64,0,0,300
,Dried-Kadayif-400gm,B0F7LZFZTT,4133,0.4282,,,-80.87,0,467.61,25,37.63,0,0,0
,Dried-Kadayif-5KG,B0F7LYMD1W,4133,0.1144,,,0,0,64.99,0,1.18,0,0,0
,Roasted-Kadayif-10KG,B0F9RSWGFZ,4133,0.2467,,,0,0,129.99,2,6.71,0,0,1
,Roasted-Kadayif-5KG,B0F9RSHT3B,4133,0,,,0,0,0,3,0,0,0,16
,Roasted-Kataifi-180g,B0GDMPMB2X,4136,0.8251,,,0,0,93.39,7,4.71,0,0,77
,Roasted-Kataifi-400g,B0GDMFCD5N,4136,0.5622,,,0,0,285.78,11,15.09,0,0,43
,Pistachio-Butter-200g-New2,B0G2KZGRNH,11079,0.9342,,,0,0,139.93,0,48,0,0,1
,Pistachio-Cream-1kg-New2,B0G2LC4FHK,11094,0.6251,,,-35.65,0,833.77,7,122.42,0,0,3
,Pistachio-Cream-200g-New2,B0G2L7V5L9,11079,1.145,,,-10.31,0,411.6,19,95.78,0,0,134
,Pistachio-Cream-5kg-New2,B0G2LC7N6C,11079,,,,-98.78,0,0,0,,0,0,0
,Pistachio-Sauce-700g-New2,B0G2LBZ9HS,73055,0,,,0,0,181.93,10,0,0,0,15
