"Products","Status","Type","Sponsored Products eligibility","Sales(USD)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(USD)","% of sales NTB","Viewable impressions"
"B0F9WZ117F-Dried-Kadayif-180gm","","","Eligible","1194.09","2.37","0.3000","16555","450","0.0272","502.79","1.12","135","0.4211","1","0.0074","7.99","0.0067","403"
"B0G2LC4FHK-Pistachio-Cream-1kg-New2","","","Eligible","660.79","5.40","0.1882","13598","85","0.0063","122.42","1.44","16","0.1853","0","0.0000","0.00","0.0000","0"
"B0FZ5T3DK4-Choco-Milk-200g","","","Eligible","271.63","1.73","0.1192","28479","193","0.0068","156.56","0.81","23","0.5764","0","0.0000","0.00","0.0000","0"
"B0FZ65RH16-Choco-Blueberry-100g","","","Eligible","222.05","1.74","0.0821","34604","414","0.0120","127.56","0.31","34","0.5745","0","0.0000","0.00","0.0000","0"
"B0G2L7V5L9-Pistachio-Cream-200g-New2","","","Eligible","163.11","1.70","0.1455","9607","110","0.0114","95.78","0.87","16","0.5872","0","0.0000","0.00","0.0000","0"
"B0FZ6C1BN2-Choco-Dark-200g","","","Eligible","141.39","1.59","0.0833","14933","108","0.0072","88.96","0.82","9","0.6292","0","0.0000","0.00","0.0000","0"
"B0FZ5XNZTT-Choco-White-100g","","","Eligible","137.29","2.83","0.1978","7399","91","0.0123","48.43","0.53","18","0.3528","0","0.0000","0.00","0.0000","0"
"B0F7LZFZTT-Dried-Kadayif-400gm","","","Eligible","92.92","2.47","0.1778","10508","45","0.0043","37.63","0.84","8","0.4050","0","0.0000","0.00","0.0000","0"
"B0FZ5PPSP3-Choco-Brownie-100g","","","Eligible","87.80","1.71","0.0657","13162","137","0.0104","51.24","0.37","9","0.5836","0","0.0000","0.00","0.0000","0"
"B0G1FGJ81B-Choco-White-200g","","","Eligible","84.51","0.71","0.0811","17011","111","0.0065","118.80","1.07","9","1.4058","0","0.0000","0.00","0.0000","0"
"B0G2KZGRNH-Pistachio-Butter-200g-New2","","","Eligible","79.96","1.67","0.0930","4603","43","0.0093","48.00","1.12","4","0.6003","0","0.0000","0.00","0.0000","0"
"B0GDMPMB2X-Roasted-Kataifi-180g","","","Eligible","78.95","16.76","0.6000","606","5","0.0083","4.71","0.94","3","0.0597","0","0.0000","0.00","0.0000","0"
"B0F7LX896Y-Dried-Kadayif-10KG","","","Eligible","64.99","6.78","0.1429","4975","7","0.0014","9.59","1.37","1","0.1476","0","0.0000","0.00","0.0000","0"
"B0GDMFCD5N-Roasted-Kataifi-400g","","","Eligible","57.47","3.81","0.1875","2846","16","0.0056","15.09","0.94","3","0.2626","0","0.0000","0.00","0.0000","0"
"B0FZ61M15L-Choco-Pumpkin-100g","","","Eligible","51.92","6.79","0.4211","1627","19","0.0117","7.65","0.40","8","0.1473","0","0.0000","0.00","0.0000","0"
"B0FZ5VPR5Q-Choco-Milk-100g","","","Eligible","27.86","0.91","0.0492","7563","61","0.0081","30.77","0.50","3","1.1045","0","0.0000","0.00","0.0000","0"
"B0F9RSWGFZ-Roasted-Kadayif-10KG","","","Eligible","12.99","1.94","0.1429","2837","7","0.0025","6.71","0.96","1","0.5166","0","0.0000","0.00","0.0000","0"
"1094441252-ORG Dell 9-Cell D620","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B000ANKHBE-N_DYSON_MattressTool","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B000V53CO0-N_Dyson_Multi-Angle Brush","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B000X1WD56-TC Electronic ND-1 Nova","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0011WHFPE-PR01X w/PA-10 Adapter","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B001JDI2FM-9 cell 9400 Battery","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B001MRX31I-Rep Dell D500/600 2200 MAH","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0026K2MRQ-Adapter PA-6 C600","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
