(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0GWCR4M1C,B0F9WZ117F,"Dolce Calma Kataifi 6.35 oz (180g) Resealable Bag, Fine Kadayif Strands for Dubai Chocolate & Kunafa Desserts, Dried Shredded Phyllo Dough, Crispy Texture, Baking & Middle Eastern Sweets",Dried-Kadayif-180gm,462,5,15.90%,8.77%,684,6,17.64%,6.59%,93.78%,66.67%,136,3,29.44%,60.00%,"$1,047.20",$23.97,135,3
B0GXCKLKWT,B0FZ65RH16,"Dolce Calma Dubai Chocolate Bar Blueberry (100g / 3.5oz) – Viral Authentic Handmade Belgian Chocolate with Turkish Pistachio & Crispy Kataifi, Premium Quality Candy, Luxury Kunafa Filling, No Palm Oil",Choco-Blueberry-100g,429,9,14.77%,15.79%,529,12,13.64%,13.19%,99.80%,100.00%,50,0,11.66%,0.00%,$295.51,$0.00,47,0
B0GWCR4M1C,B0F7LZFZTT,"Dolce Calma Kataifi 14.01 oz (400g) Resealable Bag, Fine Kadayif Strands for Dubai Chocolate & Kunafa Desserts, Dried Shredded Phyllo Dough, Crispy Texture, Baking & Middle Eastern Sweets",Dried-Kadayif-400gm,135,2,4.65%,3.51%,169,2,4.36%,2.20%,97.95%,0.00%,43,1,31.85%,50.00%,$515.57,$11.99,43,1
B0GVMP7ZZF,B0G2L7V5L9,"Dolce Calma Turkish Pistachio Cream Spread 200g (7oz) – Smooth & Rich, Glass Jar, for Dubai Chocolate, Stuffed Cookies, Desserts, Cakes & Waffles, No Palm Oil",Pistachio-Cream-200g-New2,156,5,5.37%,8.77%,238,14,6.14%,15.38%,99.52%,100.00%,38,1,24.36%,20.00%,$369.63,$9.99,35,1
B0GXCLCH31,B0FZ5T3DK4,"Dolce Calma Dubai Chocolate Bar Milk (200g / 7oz) – Viral Authentic Handmade Belgian Chocolate with Turkish Pistachio & Crispy Kataifi, Premium Quality Candy, Luxury Cream Kunafa Filling, No Palm Oil",Choco-Milk-200g,249,1,8.57%,1.75%,321,3,8.28%,3.30%,100.00%,100.00%,37,0,14.86%,0.00%,$374.33,$0.00,32,0
B0GXCKLKWT,B0FZ5XNZTT,"Dolce Calma Dubai Chocolate Bar White (100g / 3.5oz) – Viral Authentic Handmade Belgian Chocolate with Turkish Pistachio & Crispy Kataifi, Premium Quality Luxury Cream Kunafa Filling, No Palm Oil",Choco-White-100g,132,2,4.54%,3.51%,159,2,4.10%,2.20%,98.05%,0.00%,37,0,28.03%,0.00%,$221.63,$0.00,28,0
B0GXCLCH31,B0FZ6C1BN2,"Dolce Calma Dubai Chocolate Bar Dark (200g / 7oz) – Viral Authentic Handmade Belgian Chocolate with Turkish Pistachio & Crispy Kataifi, Premium Quality Candy, Luxury Cream Kunafa Filling, No Palm Oil",Choco-Dark-200g,153,0,5.27%,0.00%,198,0,5.11%,0.00%,97.28%,0.00%,26,0,16.99%,0.00%,$352.24,$0.00,24,0
B0GXCLCH31,B0G1FGJ81B,"Dolce Calma Dubai Chocolate Bar White (200g / 7oz) – Viral Authentic Handmade Belgian Chocolate with Turkish Pistachio & Crispy Kataifi, Premium Quality, Luxury Cream Kunafa Filling, No Palm Oil",Choco-White-200g,119,2,4.10%,3.51%,142,2,3.66%,2.20%,99.23%,100.00%,23,0,19.33%,0.00%,$253.17,$0.00,22,0
B0GVMP7ZZF,B0G2LC4FHK,"Dolce Calma Turkish Pistachio Cream Spread 1Kg (2.2lb) – Smooth & Rich, Glass Jar, for Dubai Chocolate, Stuffed Cookies, Desserts, Cakes & Waffles, No Palm Oil",Pistachio-Cream-1kg-New2,106,12,3.65%,21.05%,160,21,4.13%,23.08%,99.28%,100.00%,23,3,21.70%,25.00%,$833.77,$107.97,18,2
B0GWCR4M1C,B0GDMFCD5N,"Dolce Calma Roasted Kataifi 14.01oz (400g) Resealable Bag, Fine Toasted Kadayif Strands for Dubai Chocolate, Air Fried Shredded Phyllo Dough for Kunafa & Middle Eastern Desserts, Crispy Texture Baking",Roasted-Kataifi-400g,56,0,1.93%,0.00%,75,0,1.93%,0.00%,98.61%,0.00%,19,0,33.93%,0.00%,$246.81,$0.00,18,0
