sku,asin
Choco-12pack-1200g,B0FZ68HPM2
Choco-Blueberry-100g,B0FZ65RH16
Choco-Brownie-100g,B0FZ5PPSP3
Choco-Caramel-100g,B0FZ5NHGQ8
Choco-Coconut-100g,B0G1FDD267
Choco-Cookie-100g,B0FZ69Y433
Choco-Dark-100g,B0FZ5VSSXH
Choco-Dark-200g,B0FZ6C1BN2
Choco-Hazelnut-100g,B0FZ6G1BZC
Choco-Matcha-100g,B0G1FL5MKG
Choco-Milk-100g,B0FZ5VPR5Q
Choco-Milk-200g,B0FZ5T3DK4
Choco-Orange-100g,B0FZ5MRWJ5
Choco-Pumpkin-100g,B0FZ61M15L
Choco-Raspberry-160g,B0FZ5SZKDD
Choco-Strawberry-100g,B0FZ5TS62B
Choco-White-100g,B0FZ5XNZTT
Choco-White-200g,B0G1FGJ81B
Cone-DubaiMint-6pack-450g,B0FZ5QZ62D
Cone-StrawCookie-6pack-450g,B0FZ5MS4SB
Dried-Kadayif-10KG,B0F7LX896Y
Dried-Kadayif-180gm,B0F9WZ117F
Dried-Kadayif-400gm,B0F7LZFZTT
Dried-Kadayif-5KG,B0F7LYMD1W
Roasted-Kadayif-10KG,B0F9RSWGFZ
Roasted-Kadayif-5KG,B0F9RSHT3B
Roasted-Kataifi-180g,B0GDMPMB2X
Roasted-Kataifi-400g,B0GDMFCD5N
Pistachio-Butter-200g-New2,B0G2KZGRNH
Pistachio-Cream-1kg-New2,B0G2LC4FHK
Pistachio-Cream-200g-New2,B0G2L7V5L9
Pistachio-Cream-5kg-New2,B0G2LC7N6C
Pistachio-Sauce-700g-New2,B0G2LBZ9HS
